CNAME,TARGSRVY,TARGPROG,TARGCAT,TARGID,TARGNAME,TARGPRIO,TARGUSE,TARGCLASS,PROGTEMP,OBSTEMP,GAIA_ID,GAIA_DR,GAIA_RA,GAIA_DEC,GAIA_EPOCH,GAIA_PMRA,GAIA_PMRA_ERR,GAIA_PMDEC,GAIA_PMDEC_ERR,GAIA_PARAL,GAIA_PARAL_ERR,HEALPIX,IFU_SPAXEL,IFU_PA,IFU_DITHER,MAG_G,MAG_G_ERR,MAG_R,MAG_R_ERR,MAG_I,MAG_I_ERR,GAIA_MAG_G,GAIA_MAG_G_ERR,GAIA_MAG_BP,GAIA_MAG_BP_ERR,GAIA_MAG_RP,GAIA_MAG_RP_ERR,APS_WL_MIN,APS_WL_MAX,APS_Z,APS_SIGMA,APS_TEMPL_LIB,APS_TEMPL_LIB_NORM,APS_PPXF_WL_MIN,APS_PPXF_WL_MAX,APS_PPXF_MOM,APS_PPXF_DEG_ADD,APS_PPXF_DEG_MULT,APS_PPXF_NUM_MC,APS_GAND_MODE,APS_GAND_ERR,APS_GAND_RED1,APS_GAND_RED2,APS_GAND_EBV,APS_LS_MODE,APS_LS_RES,APS_LS_NUM_MC,APS_SSP_NUM_WLKR,APS_SSP_NUM_CHAIN,APS_IFU_MASK,APS_IFU_TSSL_TYPE,APS_IFU_TSSL_TARG_SNR,APS_IFU_TSSL_MIN_SNR,APS_IFU_TSSL_COVAR,APS_IFU_SRC_ID,APS_IFU_SRC_RA,APS_IFU_SRC_DEC,APS_FLAG,OPTCAT,OPTCAT_DR,OPTCAT_ID,OPTCAT_MAG_G,OPTCAT_MAG_G_ERR,OPTCAT_MAG_I,OPTCAT_MAG_I_ERR,OPTCAT_MAG_R,OPTCAT_MAG_R_ERR,
,WS2024A1-001,,staged-interacting-galaxies.fits,Arp105s1-System,Arp105,10.0,T ,GALAXY,43331,NADEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WS2024A1-001,,staged-interacting-galaxies.fits,Arp148s1-System,Arp148,10.0,T,GALAXY,43331,NADEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WS2024A1-001,,staged-interacting-galaxies.fits,Arp172s3-System,Arp172,10.0,T,GALAXY,43331,NADEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WS2024A1-001,,staged-interacting-galaxies.fits,Hearts4-System,Heart,10.0,T,GALAXY,43331,NADEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WS2024A1-001,,staged-interacting-galaxies.fits,Arp240s2-Primary,Arp240-1,10.0,T,GALAXY,41331,NADEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WS2024A1-001,,staged-interacting-galaxies.fits,Arp240s2-Secondary,Arp240-2,10.0,T,GALAXY,43331,NADEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WS2024A1-001,,staged-interacting-galaxies.fits,NGC4320s4-System,NGC4320,10.0,T,GALAXY,43331,NADEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WS2024A1-001,,staged-interacting-galaxies.fits,Arp294s1-Primary,Arp294-1,10.0,T,GALAXY,43331,NADEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WS2024A1-001,,staged-interacting-galaxies.fits,Arp294s1-Secondary,Arp294-2,10.0,T,GALAXY,42331,NADEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WS2024A1-001,,staged-interacting-galaxies.fits,Arp238s3-System,Arp238,10.0,T,GALAXY,43331,NADEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WS2024A1-001,,staged-interacting-galaxies.fits,Arp239s2-System,Arp239,10.0,T,GALAXY,43331,NADEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WS2024A1-001,,staged-interacting-galaxies.fits,Arp191s4-System,Arp191,10.0,T,GALAXY,43331,NADEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WS2024A1-001,,staged-interacting-galaxies.fits,Arp241s2-System,Arp241,10.0,T,GALAXY,43331,NADEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WS2024A1-001,,staged-interacting-galaxies.fits,Arp199s1-System,Arp199,10.0,T,GALAXY,42331,NADEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
