,ids,names,RA,Dec,Redshift,observable,when_best,best_airmass,fibre_res,time_rises,stage,exp_time,g_band_mag,Mode,Full_exp_time,Split
1,J093743.99+024536.5,Arp142,144.43288,2.74996,0.02329,y,01:19,1.11,1.2617,20:16,stage3,1.6,14.66,LIFU+LR_1x1,6000,5*1200
2,J110353.2+405057,Arp148,165.971667,40.849167,0.03452,y,02:46,1.023,1.8449,20:21,stage1,1.6,15.58,LIFU+LR_1x1,6000,5*1200
3,J160533.1+173604.6,Arp172,241.39004,17.59649,0.029,y,07:47,1.019,1.5602,02:13,stage3,1.6,14.61,LIFU+LR_1x1,6000,5*1200
4,J155308.62+540950.4,Heart,238.2859583,54.14735,0.04,y,08:35,1.11,2.1237,00:30,stage4,1.6,15.7,LIFU+LR_1x1,6000,5*1200
5,J133952.87+005023.4,Arp240_1,204.9703333,0.839844444,0.0225,y,05:20,1.13,1.2007,00:25,stage2,1.6,14.11,LIFU+LR_1x1,6000,5*1200
6,J133957.64+004950.4,Arp240_2,204.9902083,0.830666667,0.0225,y,05:20,1.13,1.22,00:25,stage2,1.6,14.1,LIFU+LR_1x1,6000,5*1200
7,J122257.67+103252.7,NGC4320,185.7402917,10.547975,0.02668,y,04:07,1.052,1.4394,22:45,stage4,1.6,15.24,LIFU+LR_1x1,6000,5*1200
8,J113942.43+315433.4,Arp294_1,174.9268333,31.90929444,0.00892,y,03:19,1.0017,0.491756,21:18,stage1,1.6,13.28,LIFU+LR_1x1,6000,5*1200
9,J113944.58+315552.3,Arp294_2,174.93579,31.93122,0.00892,y,03:19,1.0017,0.491756,21:18,stage1,1.6,13.52,LIFU+LR_1x1,6000,5*1200
10,J13153-.72+620744.8,Arp238,198.88722,62.12737,0.03106,y,04:55,1.2,1.669007,21:13,stage3,1.6,15.17,LIFU+LR_1x1,6000,5*1200
11,J134139.32+554014.6,Arp239,205.42366,55.67296,0.02489,y,05:24,1.12,1.3457667,22:10,stage2,1.6,14.29,LIFU+LR_1x1,6000,5*1200
12,J110720.83+182558.5,Arp191,166.8368333,18.43294444,0.02739,y,02:49,1.017,1.4764675,21:13,stage4,1.6,15.26,LIFU+LR_1x1,6000,5*1200
13,J143750.48+302859.5,Arp241,219.460375,30.48319722,0.03472,y,06:20,1.0004,1.85513,00:15,stage2,1.6,15.31,LIFU+LR_1x1,6000,5*1200
14,J141703.78+363422.2,Arp199,214.26579,36.57285,0.01024,y,05:58,1.0099,0.5636166,23:45,stage1,1.6,13.97,LIFU+LR_1x1,6000,5*1200
