Name,RA,Dec,Equinox,Band=Mag,Mode,Exposure_time_split(s),RA_Centre (deg),Dec_Centre (deg),Position_Angle (deg)
Arp105_s3,11:11:13,+28:42:42.2,J2000.0,B=14.7,LIFU+LR_1x1,5*1200,11:11:13.5667,+28:42:54.706,80
Arp148_s1,11:03:53,+40:50:57.0,J2000.0,B=14.29,LIFU+LR_1x1,5*1200,11:03:53.8293,+40:50:56.171,87
Arp172_s3,16:05:34,+17:35:47.4,J2000.0,B=15.0,LIFU+LR_1x1,5*1200,16:05:33.8219,+17:36:02.366,70
Heart_s4,15:53:09,+54:08:50.5,J2000.0,B=15.7,LIFU+LR_1x1,5*1200,15:53:08.6165,+54:08:59.850,0
Arp240_1_s2,13:39:53,+00:50:23.4,J2000.0,B=12.6,LIFU+LR_1x1,2*1200,13:39:51.9487,+00:50:31.417,333
Arp240_2_s2,13:39:58,+00:49:50.4,J2000.0,B=13.8,LIFU+LR_1x1,5*1200,13:39:58.4790,+00:49:59.937,75
NGC4320_s4,12:22:58,+10:32:52.7,J2000.0,B=15.3,LIFU+LR_1x1,5*1200,12:22:58.9177,+10:32:38.025,90.12
Arp294_1_s1,11:39:42,+31:54:33.5,J2000.0,B=14.62,LIFU+LR_1x1,5*1200,11:39:52.25,+31:54:27.421,75
Arp294_2_s1,11:39:45,+31:55:52.4,J2000.0,B=13.3,LIFU+LR_1x1,4*1200,11:39:44.5259,+31:55:59.545,319
Arp238_s3,13:15:33,+62:07:38.5,J2000.0,B=14.4,LIFU+LR_1x1,5*1200,13:15:31.5200,+62:07:35.005,110
Arp239_s2,13:41:42,+55:40:22.7,J2000.0,B=13.6,LIFU+LR_1x1,5*1200,13:31:40.7548,+55:40:26.516,285
Arp191_s4,11:07:21,+18:25:58.6,J2000.0,B=14.7,LIFU+LR_1x1,5*1200,11:07:20.6904,+18:25:49.438,237
Arp241_s2,14:37:50,+30:28:59.5,J2000.0,B=15.0,LIFU+LR_1x1,5*1200,14:37:51.4815,+30:28:59.447,50
Arp199_s1,14:17:04,+36:34:22.3,J2000.0,B=13.2,LIFU+LR_1x1,4*1200,14:17:04.5367,+36:34:22.510,101
