,Names,Prim_RA,Prim_DEC,Sec_RA,Sec_DEC,Redshift,observable
0,Arp240,204.9703333,0.839844444,204.9902083,0.830666667,0.0225,
1,Arp290,30.95716667,14.73864444,30.93729167,14.70905556,0.01171,
2,Arp142,144.4333333,2.760163889,144.437875,2.746886111,0.02329,
3,Arp318,32.35233333,-10.13600556,32.33729167,-10.13315833,0.0132,
4,Arp256,4.708583333,-10.361625,4.711833333,-10.37695,0.0273,
5,UGC11751,322.2472783,11.38196919,322.2427587,11.36650271,0.02909,
6,Heart,238.2859583,54.14735,238.2870417,54.14896111,0.04,
7,NGC4320,185.7402917,10.547975,185.7411667,10.54915556,0.02668,
8,Arp255,148.2867906,7.866167172,148.2932549,7.873482323,0.04106,
9,Arp82,122.80625,25.20661111,122.8146667,25.17885833,0.01368,
10,Arp199,214.2605417,36.57129444,214.26775,36.57529722,0.01024,
11,Arp57,199.1975674,14.42769116,199.2158016,14.41690732,0.048,
12,Arp247,125.89175,21.34732778,125.886,21.33809167,0.01108,
13,Arp241,219.460375,30.48319722,219.462625,30.479775,0.03472,
14,Arp107,163.0619583,30.05786389,163.073125,30.072575,0.03318,
15,Arp294,174.9268333,31.90929444,174.933125,31.93126944,0.00892,
16,Arp172,241.3879167,17.60128611,241.3907917,17.59357778,0.029,
17,Arp302,224.252875,24.61760556,224.2516667,24.6067,0.03286,
18,Arp242,191.54225,30.73128889,191.5458333,30.72224722,0.02205,
19,Arp72,236.7427544,17.88458157,236.722123,17.87232298,0.011,
20,Arp58,127.9902917,19.21122778,128.000875,19.20155833,0.03722,
21,Arp105,167.80375,28.71178056,167.8045833,28.696225,0.021,
22,Arp106,183.8992917,28.17772778,183.9040417,28.169525,0.02199,
23,NGC2802,139.1726346,18.96371111,139.1821118,18.95484444,0.02914,
24,Arp301,167.464375,24.26161111,167.4775417,24.25819444,0.02059,
25,Arp89,130.666,14.28561389,130.697875,14.26498611,0.00687,
26,Arp87,175.1837083,22.42939167,175.185875,22.44674167,0.02373,
27,Arp191,166.8368333,18.43294444,166.831875,18.42978056,0.02739,
28,Arp237,141.931125,12.28725,141.93525,12.288225,0.02899,
29,Arp173,222.8720833,9.334830556,222.8663333,9.321913889,0.028,
30,Arp84,209.6581667,37.42467778,209.646375,37.45328889,0.01158,
31,UGC10650,255.0285417,23.13154722,255.029,23.12751111,0.058,
32,Arp112,0.361458333,31.43341389,0.371458333,31.44196111,0.024,
33,Arp274,218.7863333,5.358805556,218.7765833,5.356466667,0.0289,
34,Arp146,1.686625,-6.636922222,1.683208333,-6.635019444,0.07544,
35,Arp143,116.7207083,39.03211111,116.726,39.015025,0.01339,
36,Arp70,20.867875,30.78446667,20.86354167,30.77196667,0.035,
37,Arp218,238.403625,18.60960833,238.3929167,18.60372222,0.075,
38,Arp285,141.0124167,49.20393889,141.03525,49.2486,0.00967,
39,Arp214,173.1475,53.06667,173.456624,53.125675,0.00331,
40,UGC7905,190.9558333,54.90456111,190.953875,54.89616111,0.01648,
41,Arp239,205.413875,55.67073056,205.4191667,55.67385,0.02489,
42,Pair18,206.2099758,13.92138157,206.2124828,13.92762096,None,
43,Arp313,179.401874,32.2777399,179.4337722,32.29360354,0.01045,
44,Arp101,241.13225,14.81913611,241.1181667,14.78210278,None,
45,Arp97,181.4394583,31.05861111,181.4397917,31.07908056,0.02305,
46,Arp305,179.6900417,27.45203889,179.6347917,27.52802222,None,
47,Arp181,157.0693333,79.82349167,157.0725,79.81300278,None,
48,Arp238,198.8796422,62.1292197,198.8836533,62.12464798,0.03106,
49,Arp297,221.331875,38.73127222,221.3178333,38.72864167,None,
50,NGC5753,221.3285417,38.805725,221.3427083,38.78008889,0.0597,
51,ViolinClef,1.064208333,3.383833333,,,None,
52,Arp148,165.971667,40.849167,165.971667,40.849167,0.03452,
53,CGCG436-030,20.011342,14.361928,,,0.03152,
54,Arp272,241.344908,17.755051,,,0.03685,
55,ESO77-14,350.267917,-69.215,,,0.04156,
56,NGC5331,208.067917,2.103028,,,0.03304,
57,NGC6768,289.135833,-40.209167,,,0.01858,
58,Arp273,35.3775,39.366111,,,None,
59,Arp244,180.472083,-18.876944,,,0.00569,
